,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,2,24, 01/02 24,0.51365,0,0.317465,0,0.0694363,1.00989,0,1.68828,0.427949,0.266851,0,1.91044,4.29352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3355,1269.81,1106.78,8.49617,89.9626,100,0.000449532,0.0060051,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.752925,0,0.352834,0,0.0670566,0.293328,0,1.36184,0.410071,0.157374,0,1.46614,3.39543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2566,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0.828888,0,0.363826,0,0.0639162,0,0,1.25303,0.388385,0.130004,0,1.25663,3.02805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7558,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0.8752,0,0.370373,0,0.0629481,0,0,1.18786,0.376145,0.102635,0,1.30852,2.97516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0147,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00147004,0,0,8.3183,
1,3,4, 01/03 04,0.918951,0,0.376973,0,0.0623686,0,0,1.18448,0.367865,0.11632,0,1.35829,3.02695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3326,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000826297,0,0,6.99717,
1,3,5, 01/03 05,1.07618,0,0.402169,0,0.0617902,0,0,1.12495,0.354003,0.143689,0,1.54014,3.16279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.834,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000617401,0,0,6.60562,
1,3,6, 01/03 06,0.971204,0,0.386639,0,0.0596577,0.781832,0,1.219,0.364292,0.212113,0,2.19933,3.99474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6111,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000899268,0,0,7.21596,
1,3,7, 01/03 07,0.756432,0,0.353751,0,0.060934,0.617079,0,1.369,0.400363,0.287378,0,1.7882,3.84493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0811,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00214869,0,0,9.94118,
1,3,8, 01/03 08,0.857564,0,0.369019,0,0.0636595,2.4679,0,1.47074,0.535804,0.280536,0,3.75814,6.04522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5958,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000723813,0,0,7.20392,
1,3,9, 01/03 09,0.687551,0,0.343049,0,0.0623671,0.778777,0,1.38294,1.59697,0.23264,0,1.87174,5.0843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97556,1269.81,1106.78,4.46339,89.9626,100,0.000236158,0.0060051,0.006288,9.27e-05,-0.336039,0,2.78985,
