; Tables for Std model AutoHardSize capacity look-up rules
,"BaseSys7or3b SupFan-5","ConstantVolume","BaseAirSys7or3b-5","n/a",1237.102,-99996.000,0.650,"PowerPerUnitFlow",3.384,1.015,1.500,"InAirStream",0.865,0.7071
,"BaseSys7or3b SupFan-6","ConstantVolume","BaseAirSys7or3b-6","n/a",885.430,-99996.000,0.650,"PowerPerUnitFlow",3.283,0.705,0.750,"InAirStream",0.855,0.6942
,"BaseSys7or3b SupFan-7","ConstantVolume","BaseAirSys7or3b-7","n/a",2120.082,-99996.000,0.650,"PowerPerUnitFlow",2.989,1.537,2.000,"InAirStream",0.865,0.6247
,"BaseSys7or3b SupFan-8","ConstantVolume","BaseAirSys7or3b-8","n/a",905.777,-99996.000,0.650,"PowerPerUnitFlow",3.424,0.752,1.000,"InAirStream",0.855,0.7239
,"BaseSys7or3b SupFan-9","ConstantVolume","BaseAirSys7or3b-9","n/a",1340.342,-99996.000,0.650,"PowerPerUnitFlow",3.473,1.129,1.500,"InAirStream",0.865,0.7258
,"BaseSys7or3b SupFan-10","ConstantVolume","BaseAirSys7or3b-10","n/a",278.813,-99996.000,0.650,"PowerPerUnitFlow",3.433,0.232,0.250,"InAirStream",0.855,0.7258
,"BaseSys7or3b SupFan-11","ConstantVolume","BaseAirSys7or3b-11","n/a",500.320,-99996.000,0.650,"PowerPerUnitFlow",3.433,0.416,0.500,"InAirStream",0.855,0.7258
,"BaseSys7or3b SupFan-12","ConstantVolume","BaseAirSys7or3b-12","n/a",1078.316,-99996.000,0.650,"PowerPerUnitFlow",3.433,0.898,1.000,"InAirStream",0.855,0.7258
,"BaseSys7or3b SupFan-13","ConstantVolume","BaseAirSys7or3b-13","n/a",1951.060,-99996.000,0.650,"PowerPerUnitFlow",3.473,1.643,2.000,"InAirStream",0.865,0.7258
,"BaseSys7or3b SupFan-14","ConstantVolume","BaseAirSys7or3b-14","n/a",2048.911,-99996.000,0.650,"PowerPerUnitFlow",3.465,1.721,2.000,"InAirStream",0.865,0.7241
,"BaseSys7or3b SupFan-15","ConstantVolume","BaseAirSys7or3b-15","n/a",101.558,-99996.000,0.650,"PowerPerUnitFlow",3.433,0.085,0.125,"InAirStream",0.855,0.7258
,"BaseSys11 SupFan","ConstantVolume","BaseAirSys11","n/a",738.353,-99996.000,0.650,"PowerPerUnitFlow",2.743,0.491,0.500,"InAirStream",0.855,0.5800
,"BaseSys11 SupFan-2","ConstantVolume","BaseAirSys11-2","n/a",766.743,-99996.000,0.650,"PowerPerUnitFlow",2.743,0.510,0.750,"InAirStream",0.855,0.5800
,"BaseSys7or3b SupFan-16","ConstantVolume","BaseAirSys7or3b-16","n/a",755.766,-99996.000,0.650,"PowerPerUnitFlow",3.323,0.609,0.750,"InAirStream",0.855,0.7027
,"BaseSys7or3b SupFan-17","ConstantVolume","BaseAirSys7or3b-17","n/a",599.914,-99996.000,0.650,"PowerPerUnitFlow",3.323,0.483,0.500,"InAirStream",0.855,0.7027
,"BaseSys7or3b SupFan-18","ConstantVolume","BaseAirSys7or3b-18","n/a",488.615,-99996.000,0.650,"PowerPerUnitFlow",3.433,0.407,0.500,"InAirStream",0.855,0.7258
,"BaseSys7or3b SupFan-19","ConstantVolume","BaseAirSys7or3b-19","n/a",1210.066,-99996.000,0.650,"PowerPerUnitFlow",3.352,0.983,1.000,"InAirStream",0.855,0.7087
ENDTABLE
TABLE EX06_NR_Class-Lab-DOAS-FPFC25OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"BaseSys5 OACtrl","NoEconomizer","BaseAirSys5","UNDEFINED"
,"BaseSys5 OACtrl-2","NoEconomizer","BaseAirSys5-2","UNDEFINED"
,"BaseSys7or3b OACtrl","FixedDryBulb","BaseAirSys7or3b","Integrated"
,"BaseSys7or3b OACtrl-2","FixedDryBulb","BaseAirSys7or3b-2","Integrated"
,"BaseSys7or3b OACtrl-3","NoEconomizer","BaseAirSys7or3b-3","UNDEFINED"
,"BaseSys7or3b OACtrl-4","FixedDryBulb","BaseAirSys7or3b-4","Integrated"
,"BaseSys7or3b OACtrl-5","FixedDryBulb","BaseAirSys7or3b-5","Integrated"
,"BaseSys7or3b OACtrl-6","NoEconomizer","BaseAirSys7or3b-6","UNDEFINED"
,"BaseSys7or3b OACtrl-7","FixedDryBulb","BaseAirSys7or3b-7","Integrated"
,"BaseSys7or3b OACtrl-8","NoEconomizer","BaseAirSys7or3b-8","UNDEFINED"
,"BaseSys7or3b OACtrl-9","FixedDryBulb","BaseAirSys7or3b-9","Integrated"
,"BaseSys7or3b OACtrl-10","NoEconomizer","BaseAirSys7or3b-10","UNDEFINED"
,"BaseSys7or3b OACtrl-11","NoEconomizer","BaseAirSys7or3b-11","UNDEFINED"
,"BaseSys7or3b OACtrl-12","FixedDryBulb","BaseAirSys7or3b-12","Integrated"
,"BaseSys7or3b OACtrl-13","FixedDryBulb","BaseAirSys7or3b-13","Integrated"
,"BaseSys7or3b OACtrl-14","FixedDryBulb","BaseAirSys7or3b-14","Integrated"
,"BaseSys7or3b OACtrl-15","NoEconomizer","BaseAirSys7or3b-15","UNDEFINED"
,"BaseSys11 OACtrl","NoEconomizer","BaseAirSys11","UNDEFINED"
,"BaseSys11 OACtrl-2","NoEconomizer","BaseAirSys11-2","UNDEFINED"
,"BaseSys7or3b OACtrl-16","NoEconomizer","BaseAirSys7or3b-16","UNDEFINED"
,"BaseSys7or3b OACtrl-17","NoEconomizer","BaseAirSys7or3b-17","UNDEFINED"
,"BaseSys7or3b OACtrl-18","NoEconomizer","BaseAirSys7or3b-18","UNDEFINED"
,"BaseSys7or3b OACtrl-19","FixedDryBulb","BaseAirSys7or3b-19","Integrated"
ENDTABLE
