,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,2,10, 01/02 10,2.80202,0.328764,24.0423,0,0.00605475,0,10.8868,133.426,2.05188,0.396716,0.150073,38.0659,174.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42984,0,0,0,0,0,0,0,0,0,0,9.42984,9.42984,6.4219,626.966,894.518,5.20583,89.9626,100,0.00027544,0.0054633,0.006288,0,-3.59681,0,2.39868,
1,2,11, 01/02 11,1.95195,0.453848,24.2733,0,0.00320431,0,10.6455,135.054,2.05188,0.365209,0.150073,37.3278,174.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620997,0,0,0,0,0,0,0,0,0,0,0.620997,0.620997,6.42108,626.966,894.518,5.22056,89.9626,100,0.00027622,0.0054633,0.006288,0,-4.80608,0,2.39806,
1,2,12, 01/02 12,1.61021,0.420937,23.7685,0,0.0118894,0,10.496,74.6147,2.05188,0.362971,0.150073,36.3075,113.487,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6408,0,0,0,0,0,0,0,0,0,0,25.6408,25.6408,6.41679,626.966,894.518,4.12507,89.9626,100,0.000218257,0.0054633,0.006288,0,-5.87219,0,2.39477,
1,2,13, 01/02 13,1.63578,0.299301,23.7685,0,0.0119759,0,9.15523,74.6851,2.05188,0.310609,0.150073,34.8708,112.068,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3105,0,0,0,0,0,0,0,0,0,0,24.3105,24.3105,6.41282,626.966,894.518,4.06489,89.9626,100,0.000215074,0.0054633,0.006288,0,-6.24647,0,2.39174,
1,2,14, 01/02 14,1.88742,0.262385,24.2091,0,0.00620394,0,10.2142,131.868,2.05188,0.355619,0.150073,36.5794,171.005,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93743,0,0,0,0,0,0,0,0,0,0,5.93743,5.93743,6.42203,626.966,894.518,4.09321,89.9626,100,0.000216572,0.0054633,0.006288,0,-3.10416,0,2.39879,
1,2,15, 01/02 15,2.31545,0.246541,24.4898,0,0.00581596,0,10.2885,135.125,2.05188,0.370192,0.150073,37.3461,175.043,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3015,0,0,0,0,0,0,0,0,0,0,16.3015,16.3015,6.42812,626.966,894.518,4.08768,89.9626,100,0.000216279,0.0054633,0.006288,0,-3.47694,0,2.40344,
1,2,16, 01/02 16,3.19934,0.245626,24.4865,0,0.00560495,0,10.5174,132.457,2.05188,0.393768,0.150073,38.4545,173.508,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2294,0,0,0,0,0,0,0,0,0,0,23.2294,23.2294,6.71802,626.966,894.518,4.78592,89.9626,100,0.000253223,0.0054633,0.006288,0,-1.39813,0,2.62534,
1,2,17, 01/02 17,4.6435,0.24204,24.3266,0,0.00538042,0,9.86279,125.494,2.05188,0.325222,0.150073,39.0803,167.102,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0458,0,0,0,0,0,0,0,0,0,0,32.0458,32.0458,7.2996,626.966,894.518,6.19968,89.9626,100,0.000328025,0.0054633,0.006288,0,-0.0910184,0,3.07049,
1,2,18, 01/02 18,5.52431,0.233284,24.2651,0,0.00521958,0,9.97197,123.866,2.05188,0.333343,0.150073,39.9999,166.401,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6896,0,0,0,0,0,0,0,0,0,0,39.6896,39.6896,7.80498,626.966,894.518,7.16031,89.9626,100,0.000378852,0.0054633,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,5.42503,0.227392,23.6861,0,0.0108806,0,6.99344,21.9167,2.05188,0.333343,0.150073,36.3429,60.7949,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0625,0,0,0,0,0,0,0,0,0,0,64.0625,64.0625,9.79057,626.966,894.518,8.51113,89.9626,100,0.000450324,0.0054633,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,4.90877,0.221572,23.5213,0,0.0115039,0,6.96718,20.2882,2.05188,0.333343,0.150073,35.6304,58.4539,0,0,0,0,0,0,0,0,0,0,0,0,0,91.8897,0,0,0,0,0,0,0,0,0,0,91.8897,91.8897,10.2422,626.966,894.518,8.50474,89.9626,100,0.000449986,0.0054633,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,5.32662,0.215087,23.5213,0,0.0127021,0,5.50155,7.94288,2.05188,0.333343,0.150073,34.5773,45.0555,0,0,0,0,0,0,0,0,0,0,0,0,0,106.735,0,0,0,0,0,0,0,0,0,0,106.735,106.735,10.3692,626.966,894.518,8.48575,89.9626,100,0.000448981,0.0054633,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,6.08657,0.211731,23.5213,0,0.0136112,0,5.03118,7.42352,2.05188,0.285722,0.150073,34.8644,44.7756,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1,0,0,0,0,0,0,0,0,0,0,113.1,113.1,11.6652,626.966,894.518,8.50291,89.9626,100,0.000449889,0.0054633,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,0.547718,0.2075,7.87145,0,0.0149608,0,1.94651,4.82671,2.05188,0.0476204,0,10.5881,17.5144,0,0,0,0,0,0,0,0,0,0,0,0,0,122.308,0,0,0,0,0,0,0,0,0,0,122.308,122.308,12.5194,626.966,894.518,8.49235,89.9626,100,0.00044933,0.0054633,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,0.548117,0.200563,7.87145,0,0.0155238,0,1.94651,4.82671,2.05188,0.0476204,0,10.5822,17.5084,0,0,0,0,0,0,0,0,0,0,0,0,0,127.125,0,0,0,0,0,0,0,0,0,0,127.125,127.125,14.4849,626.966,894.518,8.49617,89.9626,100,0.000449532,0.0054633,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.548979,0.196389,7.87145,0,0.0126335,0,1.20844,1.56975,2.05188,0.0476204,0,9.83789,13.5071,0,0,0,0,0,0,0,0,0,0,0,0,0,137.499,0,0,0,0,0,0,0,0,0,0,137.499,137.499,19.5344,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0.548796,0.192394,7.87145,0,0.0123911,0,1.20844,1.56975,2.05188,0.0476204,0,9.83347,13.5027,0,0,0,0,0,0,0,0,0,0,0,0,0,135.298,0,0,0,0,0,0,0,0,0,0,135.298,135.298,17.9944,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0.548549,0.18996,7.87145,0,0.0117634,0,1.20844,1.56975,2.05188,0.0476204,0,9.83016,13.4994,0,0,0,0,0,0,0,0,0,0,0,0,0,132.329,0,0,0,0,0,0,0,0,0,0,132.329,132.329,14.1557,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00147004,0,0,8.3183,
1,3,4, 01/03 04,0.548718,0.187282,7.87145,0,0.0122763,0,1.20844,1.56975,2.05188,0.0476204,0,9.82816,13.4974,0,0,0,0,0,0,0,0,0,0,0,0,0,134.367,0,0,0,0,0,0,0,0,0,0,134.367,134.367,12.4297,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.000826297,0,0,6.99717,
1,3,5, 01/03 05,0.549699,0.181766,7.87145,0,0.015033,0,1.20844,1.56975,2.05188,0.0476204,0,9.82639,13.4956,0,0,0,0,0,0,0,0,0,0,0,0,0,146.177,0,0,0,0,0,0,0,0,0,0,146.177,146.177,11.9182,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.000617401,0,0,6.60562,
1,3,6, 01/03 06,0.549773,0.178745,8.22565,0,0.015191,0,1.21369,1.56975,2.05188,0.0476204,0,10.1831,13.8523,0,0,0,0,0,0,0,0,0,0,0,0,0,147.059,0,0,0,0,0,0,0,0,0,0,147.059,147.059,12.7155,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.000899268,0,0,7.21596,
1,3,7, 01/03 07,0.549593,0.17804,7.87145,0,0.014607,0,1.21894,1.56975,2.05188,0.0476204,0,9.83263,13.5019,0,0,0,0,0,0,0,0,0,0,0,0,0,144.894,0,0,0,0,0,0,0,0,0,0,144.894,144.894,16.276,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00214869,0,0,9.94118,
