,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,2,6, 01/02 06,0,0.0822466,0,0,0,0,0.350129,0.500184,1.54182,0,0,0.432376,2.47438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83044,626.966,894.518,5.73985,89.9626,100,0.000303695,0.0054633,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,0,0.0822466,2.21114,0,0,0,0.612726,1.00037,1.54182,0,0,2.90611,5.44829,65.1608,0,0,0,0,1.12077,0,0,0,0,0,66.2816,66.2816,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69625,626.966,894.518,7.50866,89.9626,100,0.000397283,0.0054633,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,0,0.0822466,2.21114,0,0,0,0.5806,1.00037,1.54182,0,0,2.87398,5.41617,64.0126,0,0,0,0,12.2135,0,20.2518,0,0,0,76.2261,96.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57896,626.966,894.518,6.16084,89.9626,100,0.00032597,0.0054633,0.006288,0.000176325,-0.0536691,0,3.28432,
1,2,9, 01/02 09,0,0.0822466,2.21114,0,0,0,0.793206,1.50055,1.54182,0,0,3.08659,6.12896,57.9574,0,0,0,0,11.8574,0,20.2518,0,0,0,69.8147,90.0665,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44377,626.966,894.518,5.20798,89.9626,100,0.000275554,0.0054633,0.006288,0,-1.27061,0,2.41543,
1,2,10, 01/02 10,0,0,2.21114,0,0,0,0.786171,1.50055,1.54182,0,0,2.99731,6.03968,54.0329,0,0,0,0,9.79908,0,20.2518,0,0,0,63.832,84.0838,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4219,626.966,894.518,5.20583,89.9626,100,0.00027544,0.0054633,0.006288,0,-1.34825,0,2.39868,
1,2,11, 01/02 11,0,0,2.21114,0,0,0,1.19026,2.25083,1.54182,0,0,3.40139,7.19404,43.6807,0,0,0,0,8.17203,0,36.4532,0,0,0,51.8527,88.3059,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42108,626.966,894.518,5.22056,89.9626,100,0.00027622,0.0054633,0.006288,0,-1.80154,0,2.39806,
1,2,12, 01/02 12,0,0,2.21114,0,0,0,1.16838,2.25083,1.54182,0,0,3.37952,7.17216,42.6196,0,0,0,0,9.79912,0,36.4532,0,0,0,52.4187,88.8719,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41679,626.966,894.518,4.12507,89.9626,100,0.000218257,0.0054633,0.006288,0,-2.20117,0,2.39477,
1,2,13, 01/02 13,0,0,2.21114,0,0,0,1.17395,2.25083,1.54182,0,0,3.38509,7.17773,43.978,0,0,0,0,9.53547,0,36.4532,0,0,0,53.5135,89.9667,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41282,626.966,894.518,4.06489,89.9626,100,0.000215074,0.0054633,0.006288,0,-2.34146,0,2.39174,
1,2,14, 01/02 14,0,0.0205617,2.21114,0,0,0,1.22657,2.25083,1.54182,0,0,3.45827,7.25092,45.6958,0,0,0,0,6.63117,0,36.4532,0,0,0,52.3269,88.7801,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42203,626.966,894.518,4.09321,89.9626,100,0.000216572,0.0054633,0.006288,0,-1.16359,0,2.39879,
1,2,15, 01/02 15,0,0.0822466,2.21114,0,0,0,1.23061,2.25083,1.54182,0,0,3.52399,7.31663,48.2667,0,0,0,0,6.97324,0,30.3776,0,0,0,55.2399,85.6176,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42812,626.966,894.518,4.08768,89.9626,100,0.000216279,0.0054633,0.006288,0,-1.30331,0,2.40344,
1,2,16, 01/02 16,0,0.0822466,2.21114,0,0,0,1.33496,2.25083,1.54182,0,0,3.62834,7.42099,52.2369,0,0,0,0,7.24406,0,30.3776,0,0,0,59.4809,89.8586,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71802,626.966,894.518,4.78592,89.9626,100,0.000253223,0.0054633,0.006288,0,-0.52408,0,2.62534,
1,2,17, 01/02 17,0,0.0822466,2.21114,0,0,0,1.46803,2.25083,1.54182,0,0,3.76142,7.55406,55.6981,0,0,0,0,6.46216,0,30.3776,0,0,0,62.1602,92.5379,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2996,626.966,894.518,6.19968,89.9626,100,0.000328025,0.0054633,0.006288,0,-0.0341178,0,3.07049,
1,2,18, 01/02 18,0,0.0822466,2.21114,0,0,0,1.48805,2.25083,1.54182,0,0,3.78143,7.57408,60.3082,0,0,0,0,8.17273,0,36.4532,0,0,0,68.4809,104.934,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80498,626.966,894.518,7.16031,89.9626,100,0.000378852,0.0054633,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,0,0.0822466,2.21114,0,0,0,1.48805,2.25083,1.54182,0,0,3.78143,7.57408,59.7889,0,0,0,0,11.8567,0,36.4532,0,0,0,71.6456,108.099,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79057,626.966,894.518,8.51113,89.9626,100,0.000450324,0.0054633,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,0,0.0822466,0.650089,0,0,0,1.48805,2.25083,1.54182,0,0,2.22038,6.01303,56.0651,0,0,0,0,12.2163,0,36.4532,0,0,0,68.2814,104.735,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2422,626.966,894.518,8.50474,89.9626,100,0.000449986,0.0054633,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,0,0.0822466,0.650089,0,0,0,1.48805,2.25083,1.54182,0,0,2.22038,6.01303,60.673,0,0,0,0,11.5199,0,36.4532,0,0,0,72.1929,108.646,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3692,626.966,894.518,8.48575,89.9626,100,0.000448981,0.0054633,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,0,0.0822466,0.650089,0,0,0,1.48805,2.25083,1.54182,0,0,2.22038,6.01303,59.5731,0,0,0,0,11.8535,0,30.3776,0,0,0,71.4266,101.804,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6652,626.966,894.518,8.50291,89.9626,100,0.000449889,0.0054633,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,0,0.0822466,0.650089,0,0,0,0.78779,1.25046,1.54182,0,0,1.52013,4.3124,66.9908,0,0,0,0,9.79903,0,20.2518,0,0,0,76.7899,97.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5194,626.966,894.518,8.49235,89.9626,100,0.00044933,0.0054633,0.006288,0.00129511,0,0,7.0658,
